respondent_id,question,answer
R_002,"Assuming global warming is happening, do you think it is?",Caused mostly by human activities
R_002,Which comes closest to your own view about what most scientists think?,Most scientists think global warming is happening
R_002,How strongly do you agree or disagree with the following question: Global warming is affecting the weather in your country.,Strongly agree
R_002,"In your opinion, when will global warming start to harm people in your country?",They are being harmed right now
R_002,How much do you think global warming will harm plants and animal species?,A great deal
R_002,How much do you think global warming will harm future generations of people?,A great deal
R_002,How much do you think global warming will harm people in developing countries?,A great deal
R_002,How much do you think global warming will harm people in your country?,A great deal
R_002,How much do you think global warming will harm you personally?,A great deal
R_002,When do you think global warming will start to harm people in your country?,They are being harmed right now
R_002,How much do you agree or disagree with the following question: I have personally experienced the effects of global warming?,Somewhat agree
R_002,"Fund more research into renewable energy sources, such as solar and wind power.",Strongly support
R_002,Require fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount.,Somewhat support
R_002,Provide tax rebates for people who purchase energy-efficient vehicles or solar panels.,Somewhat support
R_002,Set strict CO2 emission limits on coal-fired power plants.,Strongly support
R_002,Drill for oil in natural areas or reserves.,Strongly oppose
R_002,Expand offshore drilling for oil and natural gas off your country's coast.,Somewhat support
R_002,Do you think the following should be doing more or less to address global warming? Corporations and industry.,Much more
R_002,The President.,Less
R_002,Congress.,Much more
R_002,Your Governor.,Much more
R_002,Your local officials.,Currently doing the right amount
R_002,Citizens themselves.,More
R_002,Should global warming be a priority for the next president and Congress?,Very high
R_002,Should developing sources of clean energy be a priority?,Very high
R_002,Generate renewable energy (solar and wind) on public land in your country.,Strongly agree
R_002,Support the economy transition from fossil fuels to 100% clean energy by 2050.,Strongly agree
R_002,How often do you discuss global warming with your friends and family?,Rarely
R_002,How often do you hear about global warming in the media?,At least once a week
R_002,How severe would you rate the personal effects of global warming that you have experienced?,Slightly severe
R_002,"Would you personally be willing to pay higher energy bills to support more renewable energy development (solar, wind, etc.)?",Definitely not
R_002,How responsible do you feel personally for helping reduce the effects of global warming on future generations?,Slightly responsible
R_002,Do you agree or disagree with the statement: True patriotism means leaving the country better than you found it.,Strongly agree
R_002,"The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization.",strongly_disagree
R_002,A lot of important information is deliberately concealed from the public out of self-interest.,strongly_agree
R_002,Certain significant events have been the result of the activity of a small group that secretly manipulates world events.,agree
R_002,The government uses innocent people as patsies to hide its involvement in criminal activity.,strongly_agree
R_002,Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent.,disagree
R_002,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",disagree
R_002,New and advanced technology which would harm current industry is being suppressed.,disagree
R_002,The power held by heads of state is second to that of small unknown groups who really control world politics.,strongly_agree
R_002,"Secret organizations communicate with extraterrestrials, but keep this fact from the public.",strongly_agree
R_002,Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact.,strongly_agree
R_002,"The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret.",agree
R_002,"A small, secret group of people is responsible for making all major decisions, such as going to war.",agree
R_002,Technology with mind-control capacities is used on people without their knowledge.,strongly_disagree
R_002,Evidence of alien contact is being concealed from the public.,strongly_agree
R_002,"Groups of scientists manipulate, fabricate, or suppress evidence in order to deceive the public.",neutral
R_002,I see myself as someone who is reserved.,agree_strongly
R_002,I see myself as someone who is generally trusting.,agree_strongly
R_002,I see myself as someone who tends to be lazy.,disagree_strongly
R_002,"I see myself as someone who is relaxed, handles stress well.",agree_strongly
R_002,I see myself as someone who has few artistic interests.,disagree_a_little
R_002,"I see myself as someone who is outgoing, sociable.",agree_a_little
R_002,I see myself as someone who tends to find fault with others.,disagree_strongly
R_002,I see myself as someone who does a thorough job.,agree_a_little
R_002,I see myself as someone who gets nervous easily.,disagree_strongly
R_002,I see myself as someone who has an active imagination.,neutral
R_002,Question 93,
R_002,Question 94,
R_002,Question 95,
R_002,Question 96,
R_002,Question 97,
R_003,UserID,6808aea984077492cbea9006
R_003,Gender,Female
R_003,Region of Birth,Europe
R_003,Region of Residence,Europe
R_003,How long ago did you move to your current country of residence?,<5 years
R_003,Do you have children?,No
R_003,Education Level (Highest achieved or currently pursuing),Undergraduate Degree
R_003,Job Status,Employed
R_003,Job Role,Engineering/Technical
R_003,Job Level,Entry Level
R_003,Topic(s) of interest,HealthNutrition
R_003,Social Media Usage,3-5 hours/day
R_003,How concerned are you that policies to address global warming will increase your cost of living?,Very concerned
R_003,How important is it to you that this country leads the world in new technologies and innovation?,Extremely important
R_003,Do you agree or disagree with the question: True patriotism means leaving the country better than you found it.,Strongly agree
R_003,"On social and political issues, where would you place yourself?",Slightly liberal
R_003,An ideal society requires some groups to be on top and others to be on the bottom.,Somewhat oppose
R_003,Do you feel optimistic or pessimistic about the future?,Somewhat pessimistic
R_003,"Do you think the number of immigrants to your country should be increased, reduced, or remain the same?",Increased
R_003,Do you think that global warming is happening?,Yes
R_003,"Assuming global warming is happening, do you think it is?",Caused mostly by human activities
R_003,Which comes closest to your own view about what most scientists think?,Most scientists think global warming is happening
R_003,How strongly do you agree or disagree with the following question: Global warming is affecting the weather in your country.,Strongly agree
R_003,"In your opinion, when will global warming start to harm people in your country?",They are being harmed right now
R_003,How much do you think global warming will harm plants and animal species?,A great deal
R_003,How much do you think global warming will harm future generations of people?,A great deal
R_003,How much do you think global warming will harm people in developing countries?,A great deal
R_003,How much do you think global warming will harm people in your country?,A great deal
R_003,How much do you think global warming will harm you personally?,A great deal
R_003,When do you think global warming will start to harm people in your country?,They are being harmed right now
R_003,How much do you agree or disagree with the following question: I have personally experienced the effects of global warming?,Strongly agree
R_003,"Fund more research into renewable energy sources, such as solar and wind power.",Strongly support
R_003,Require fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount.,Strongly support
R_003,Provide tax rebates for people who purchase energy-efficient vehicles or solar panels.,Strongly support
R_003,Set strict CO2 emission limits on coal-fired power plants.,Strongly support
R_003,Drill for oil in natural areas or reserves.,Strongly support
R_003,Expand offshore drilling for oil and natural gas off your country's coast.,Strongly support
R_003,Do you think the following should be doing more or less to address global warming? Corporations and industry.,Much more
R_003,The President.,Much more
R_003,Congress.,Much more
R_003,Your Governor.,Much more
R_003,Your local officials.,Much more
R_003,Citizens themselves.,Much more
R_003,Should global warming be a priority for the next president and Congress?,Very high
R_003,Should developing sources of clean energy be a priority?,Very high
R_003,Generate renewable energy (solar and wind) on public land in your country.,Strongly agree
R_003,Support the economy transition from fossil fuels to 100% clean energy by 2050.,Strongly agree
R_003,How often do you discuss global warming with your friends and family?,Often
R_003,How often do you hear about global warming in the media?,At least once a week
R_003,How severe would you rate the personal effects of global warming that you have experienced?,Very severe
R_003,"Would you personally be willing to pay higher energy bills to support more renewable energy development (solar, wind, etc.)?","Yes, definitely"
R_003,How responsible do you feel personally for helping reduce the effects of global warming on future generations?,Very responsible
R_003,Do you agree or disagree with the statement: True patriotism means leaving the country better than you found it.,Strongly agree
R_003,"The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization.",disagree
R_003,A lot of important information is deliberately concealed from the public out of self-interest.,agree
R_003,Certain significant events have been the result of the activity of a small group that secretly manipulates world events.,agree
R_003,The government uses innocent people as patsies to hide its involvement in criminal activity.,agree
R_003,Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent.,agree
R_003,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",neutral
R_003,New and advanced technology which would harm current industry is being suppressed.,neutral
R_003,The power held by heads of state is second to that of small unknown groups who really control world politics.,neutral
R_003,"Secret organizations communicate with extraterrestrials, but keep this fact from the public.",neutral
R_003,Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact.,neutral
R_003,"The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret.",neutral
R_003,"A small, secret group of people is responsible for making all major decisions, such as going to war.",neutral
R_003,Technology with mind-control capacities is used on people without their knowledge.,neutral
R_003,Evidence of alien contact is being concealed from the public.,neutral
R_003,"Groups of scientists manipulate, fabricate, or suppress evidence in order to deceive the public.",neutral
R_003,I see myself as someone who is reserved.,agree_a_little
R_003,I see myself as someone who is generally trusting.,agree_a_little
R_003,I see myself as someone who tends to be lazy.,agree_a_little
R_003,"I see myself as someone who is relaxed, handles stress well.",agree_strongly
R_003,I see myself as someone who has few artistic interests.,disagree_a_little
R_003,"I see myself as someone who is outgoing, sociable.",agree_a_little
R_003,I see myself as someone who tends to find fault with others.,disagree_a_little
R_003,I see myself as someone who does a thorough job.,agree_a_little
R_003,I see myself as someone who gets nervous easily.,disagree_a_little
R_003,I see myself as someone who has an active imagination.,agree_a_little
R_003,Question 93,
R_003,Question 94,
R_003,Question 95,
R_003,Question 96,
R_003,Question 97,
R_004,UserID,6808af5b84077492cbea9008
R_004,Gender,Female
R_004,Region of Birth,Europe
R_004,Region of Residence,Europe
R_004,How long ago did you move to your current country of residence?,>10 years
R_004,Do you have children?,No
R_004,Education Level (Highest achieved or currently pursuing),Postgraduate Degree
R_004,Job Status,Unemployed
R_004,Job Role,
R_004,Job Level,
R_004,Topic(s) of interest,HealthNutrition
R_004,Social Media Usage,1-3 hours/day
R_004,How concerned are you that policies to address global warming will increase your cost of living?,Somewhat concerned
R_004,How important is it to you that this country leads the world in new technologies and innovation?,Very important
R_004,Do you agree or disagree with the question: True patriotism means leaving the country better than you found it.,Somewhat agree
R_004,"On social and political issues, where would you place yourself?",Very liberal
R_004,An ideal society requires some groups to be on top and others to be on the bottom.,Neutral
R_004,Do you feel optimistic or pessimistic about the future?,Neither optimistic nor pessimistic
R_004,"Do you think the number of immigrants to your country should be increased, reduced, or remain the same?",Remain the same
R_004,Do you think that global warming is happening?,Yes
R_004,"Assuming global warming is happening, do you think it is?",Caused mostly by human activities
R_004,Which comes closest to your own view about what most scientists think?,Most scientists think global warming is happening
R_004,How strongly do you agree or disagree with the following question: Global warming is affecting the weather in your country.,Somewhat agree
R_004,"In your opinion, when will global warming start to harm people in your country?",In 10 years
R_004,How much do you think global warming will harm plants and animal species?,A moderate amount
R_004,How much do you think global warming will harm future generations of people?,A great deal
R_004,How much do you think global warming will harm people in developing countries?,A great deal
R_004,How much do you think global warming will harm people in your country?,A great deal
R_004,How much do you think global warming will harm you personally?,A moderate amount
R_004,When do you think global warming will start to harm people in your country?,In 10 years
R_004,How much do you agree or disagree with the following question: I have personally experienced the effects of global warming?,Somewhat disagree
R_004,"Fund more research into renewable energy sources, such as solar and wind power.",Strongly support
R_004,Require fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount.,Somewhat support
R_004,Provide tax rebates for people who purchase energy-efficient vehicles or solar panels.,Strongly support
R_004,Set strict CO2 emission limits on coal-fired power plants.,Strongly support
R_004,Drill for oil in natural areas or reserves.,Somewhat oppose
R_004,Expand offshore drilling for oil and natural gas off your country's coast.,Somewhat oppose
R_004,Do you think the following should be doing more or less to address global warming? Corporations and industry.,Much more
R_004,The President.,Much more
R_004,Congress.,Much more
R_004,Your Governor.,Much more
R_004,Your local officials.,More
R_004,Citizens themselves.,More
R_004,Should global warming be a priority for the next president and Congress?,Very high
R_004,Should developing sources of clean energy be a priority?,Very high
R_004,Generate renewable energy (solar and wind) on public land in your country.,Strongly agree
R_004,Support the economy transition from fossil fuels to 100% clean energy by 2050.,Strongly agree
R_004,How often do you discuss global warming with your friends and family?,Rarely
R_004,How often do you hear about global warming in the media?,At least once a month
R_004,How severe would you rate the personal effects of global warming that you have experienced?,Slightly severe
R_004,"Would you personally be willing to pay higher energy bills to support more renewable energy development (solar, wind, etc.)?",Probably not
R_004,How responsible do you feel personally for helping reduce the effects of global warming on future generations?,Moderately responsible
R_004,Do you agree or disagree with the statement: True patriotism means leaving the country better than you found it.,Somewhat agree
R_004,"The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization.",disagree
R_004,A lot of important information is deliberately concealed from the public out of self-interest.,agree
R_004,Certain significant events have been the result of the activity of a small group that secretly manipulates world events.,neutral
R_004,The government uses innocent people as patsies to hide its involvement in criminal activity.,neutral
R_004,Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent.,strongly_disagree
R_004,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",disagree
R_004,New and advanced technology which would harm current industry is being suppressed.,disagree
R_004,The power held by heads of state is second to that of small unknown groups who really control world politics.,disagree
R_004,"Secret organizations communicate with extraterrestrials, but keep this fact from the public.",strongly_disagree
R_004,Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact.,strongly_disagree
R_004,"The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret.",disagree
R_004,"A small, secret group of people is responsible for making all major decisions, such as going to war.",strongly_disagree
R_004,Technology with mind-control capacities is used on people without their knowledge.,strongly_disagree
R_004,Evidence of alien contact is being concealed from the public.,strongly_disagree
R_004,"Groups of scientists manipulate, fabricate, or suppress evidence in order to deceive the public.",strongly_disagree
R_004,I see myself as someone who is reserved.,neutral
R_004,I see myself as someone who is generally trusting.,agree_strongly
R_004,I see myself as someone who tends to be lazy.,agree_a_little
R_004,"I see myself as someone who is relaxed, handles stress well.",disagree_a_little
R_004,I see myself as someone who has few artistic interests.,disagree_a_little
R_004,"I see myself as someone who is outgoing, sociable.",agree_a_little
R_004,I see myself as someone who tends to find fault with others.,agree_a_little
R_004,I see myself as someone who does a thorough job.,agree_a_little
R_004,I see myself as someone who gets nervous easily.,disagree_a_little
R_004,I see myself as someone who has an active imagination.,disagree_a_little
R_004,Question 93,
R_004,Question 94,
R_004,Question 95,
R_004,Question 96,
R_004,Question 97,
R_005,UserID,6808afe584077492cbea9070
R_005,Gender,Female
R_005,Region of Birth,Europe
R_005,Region of Residence,Europe
R_005,How long ago did you move to your current country of residence?,>10 years
R_005,Do you have children?,No
R_005,Education Level (Highest achieved or currently pursuing),Undergraduate Degree
R_005,Job Status,Unemployed
R_005,Job Role,
R_005,Job Level,
R_005,Topic(s) of interest,HealthNutrition Economics
R_005,Social Media Usage,3-5 hours/day
R_005,How concerned are you that policies to address global warming will increase your cost of living?,Very concerned
R_005,How important is it to you that this country leads the world in new technologies and innovation?,Extremely important
R_005,Do you agree or disagree with the question: True patriotism means leaving the country better than you found it.,Strongly agree
R_005,"On social and political issues, where would you place yourself?",Moderate / Middle of the road
R_005,An ideal society requires some groups to be on top and others to be on the bottom.,Strongly oppose
R_005,Do you feel optimistic or pessimistic about the future?,Very pessimistic
R_005,"Do you think the number of immigrants to your country should be increased, reduced, or remain the same?",Reduced
R_005,Do you think that global warming is happening?,Yes
R_005,"Assuming global warming is happening, do you think it is?",Caused mostly by human activities
R_005,Which comes closest to your own view about what most scientists think?,Most scientists think global warming is happening
R_005,How strongly do you agree or disagree with the following question: Global warming is affecting the weather in your country.,Strongly agree
R_005,"In your opinion, when will global warming start to harm people in your country?",They are being harmed right now
R_005,How much do you think global warming will harm plants and animal species?,A great deal
R_005,How much do you think global warming will harm future generations of people?,A great deal
R_005,How much do you think global warming will harm people in developing countries?,A great deal
R_005,How much do you think global warming will harm people in your country?,A great deal
R_005,How much do you think global warming will harm you personally?,A great deal
R_005,When do you think global warming will start to harm people in your country?,They are being harmed right now
R_005,How much do you agree or disagree with the following question: I have personally experienced the effects of global warming?,Somewhat agree
R_005,"Fund more research into renewable energy sources, such as solar and wind power.",Strongly support
R_005,Require fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount.,Somewhat support
R_005,Provide tax rebates for people who purchase energy-efficient vehicles or solar panels.,Strongly support
R_005,Set strict CO2 emission limits on coal-fired power plants.,Strongly support
R_005,Drill for oil in natural areas or reserves.,Somewhat oppose
R_005,Expand offshore drilling for oil and natural gas off your country's coast.,Somewhat oppose
R_005,Do you think the following should be doing more or less to address global warming? Corporations and industry.,Much more
R_005,The President.,Much less
R_005,Congress.,Much less
R_005,Your Governor.,Much less
R_005,Your local officials.,Much less
R_005,Citizens themselves.,Much less
R_005,Should global warming be a priority for the next president and Congress?,Very high
R_005,Should developing sources of clean energy be a priority?,Very high
R_005,Generate renewable energy (solar and wind) on public land in your country.,Strongly agree
R_005,Support the economy transition from fossil fuels to 100% clean energy by 2050.,Strongly agree
R_005,How often do you discuss global warming with your friends and family?,Never
R_005,How often do you hear about global warming in the media?,At least once a month
R_005,How severe would you rate the personal effects of global warming that you have experienced?,Very severe
R_005,"Would you personally be willing to pay higher energy bills to support more renewable energy development (solar, wind, etc.)?",Probably not
R_005,How responsible do you feel personally for helping reduce the effects of global warming on future generations?,Moderately responsible
R_005,Do you agree or disagree with the statement: True patriotism means leaving the country better than you found it.,Strongly agree
R_005,"The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization.",agree
R_005,A lot of important information is deliberately concealed from the public out of self-interest.,strongly_agree
R_005,Certain significant events have been the result of the activity of a small group that secretly manipulates world events.,strongly_agree
R_005,The government uses innocent people as patsies to hide its involvement in criminal activity.,strongly_agree
R_005,Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent.,strongly_agree
R_005,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",strongly_agree
R_005,New and advanced technology which would harm current industry is being suppressed.,strongly_agree
R_005,The power held by heads of state is second to that of small unknown groups who really control world politics.,strongly_agree
R_005,"Secret organizations communicate with extraterrestrials, but keep this fact from the public.",strongly_agree
R_005,Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact.,strongly_agree
R_005,"The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret.",strongly_agree
R_005,"A small, secret group of people is responsible for making all major decisions, such as going to war.",strongly_agree
R_005,Technology with mind-control capacities is used on people without their knowledge.,strongly_agree
R_005,Evidence of alien contact is being concealed from the public.,strongly_agree
R_005,"Groups of scientists manipulate, fabricate, or suppress evidence in order to deceive the public.",strongly_agree
R_005,I see myself as someone who is reserved.,agree_a_little
R_005,I see myself as someone who is generally trusting.,disagree_a_little
R_005,I see myself as someone who tends to be lazy.,disagree_a_little
R_005,"I see myself as someone who is relaxed, handles stress well.",disagree_strongly
R_005,I see myself as someone who has few artistic interests.,disagree_strongly
R_005,"I see myself as someone who is outgoing, sociable.",agree_strongly
R_005,I see myself as someone who tends to find fault with others.,agree_a_little
R_005,I see myself as someone who does a thorough job.,agree_strongly
R_005,I see myself as someone who gets nervous easily.,agree_strongly
R_005,I see myself as someone who has an active imagination.,agree_a_little
R_005,Question 93,
R_005,Question 94,
R_005,Question 95,
R_005,Question 96,
R_005,Question 97,
R_006,UserID,6808b01e84077492cbea9072
R_006,Gender,Female
R_006,Region of Birth,Europe
R_006,Region of Residence,Europe
R_006,How long ago did you move to your current country of residence?,>10 years
R_006,Do you have children?,No
R_006,Education Level (Highest achieved or currently pursuing),Undergraduate Degree
R_006,Job Status,Unemployed
R_006,Job Role,
R_006,Job Level,
R_006,Topic(s) of interest,HealthNutrition
R_006,Social Media Usage,1-3 hours/day
R_006,How concerned are you that policies to address global warming will increase your cost of living?,Not very concerned
R_006,How important is it to you that this country leads the world in new technologies and innovation?,Very important
R_006,Do you agree or disagree with the question: True patriotism means leaving the country better than you found it.,Somewhat agree
R_006,"On social and political issues, where would you place yourself?",Prefer not to answer
R_006,An ideal society requires some groups to be on top and others to be on the bottom.,Neutral
R_006,Do you feel optimistic or pessimistic about the future?,Somewhat pessimistic
R_006,"Do you think the number of immigrants to your country should be increased, reduced, or remain the same?",Remain the same
R_006,Do you think that global warming is happening?,Yes
R_006,"Assuming global warming is happening, do you think it is?",Caused mostly by human activities
R_006,Which comes closest to your own view about what most scientists think?,Most scientists think global warming is happening
R_006,How strongly do you agree or disagree with the following question: Global warming is affecting the weather in your country.,Somewhat agree
R_006,"In your opinion, when will global warming start to harm people in your country?",In 25 years
R_006,How much do you think global warming will harm plants and animal species?,A moderate amount
R_006,How much do you think global warming will harm future generations of people?,A great deal
R_006,How much do you think global warming will harm people in developing countries?,A moderate amount
R_006,How much do you think global warming will harm people in your country?,A great deal
R_006,How much do you think global warming will harm you personally?,A moderate amount
R_006,When do you think global warming will start to harm people in your country?,In 50 years
R_006,How much do you agree or disagree with the following question: I have personally experienced the effects of global warming?,Somewhat agree
R_006,"Fund more research into renewable energy sources, such as solar and wind power.",Strongly support
R_006,Require fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount.,Somewhat support
R_006,Provide tax rebates for people who purchase energy-efficient vehicles or solar panels.,Somewhat support
R_006,Set strict CO2 emission limits on coal-fired power plants.,Somewhat support
R_006,Drill for oil in natural areas or reserves.,Somewhat oppose
R_006,Expand offshore drilling for oil and natural gas off your country's coast.,Somewhat oppose
R_006,Do you think the following should be doing more or less to address global warming? Corporations and industry.,More
R_006,The President.,More
R_006,Congress.,More
R_006,Your Governor.,More
R_006,Your local officials.,More
R_006,Citizens themselves.,More
R_006,Should global warming be a priority for the next president and Congress?,High
R_006,Should developing sources of clean energy be a priority?,Very high
R_006,Generate renewable energy (solar and wind) on public land in your country.,Strongly agree
R_006,Support the economy transition from fossil fuels to 100% clean energy by 2050.,Strongly agree
R_006,How often do you discuss global warming with your friends and family?,Rarely
R_006,How often do you hear about global warming in the media?,At least once a week
R_006,How severe would you rate the personal effects of global warming that you have experienced?,Moderately severe
R_006,"Would you personally be willing to pay higher energy bills to support more renewable energy development (solar, wind, etc.)?",Dont know
R_006,How responsible do you feel personally for helping reduce the effects of global warming on future generations?,Slightly responsible
R_006,Do you agree or disagree with the statement: True patriotism means leaving the country better than you found it.,Somewhat agree
R_006,"The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization.",agree
R_006,A lot of important information is deliberately concealed from the public out of self-interest.,agree
R_006,Certain significant events have been the result of the activity of a small group that secretly manipulates world events.,neutral
R_006,The government uses innocent people as patsies to hide its involvement in criminal activity.,neutral
R_006,Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent.,agree
